cna_clone	source_id	n	nrel
CNN	p008	34	5.964912280701754
CNN	p021	27	20.454545454545457
CNN	p025	88	21.256038647342994
CNN	p020	77	24.0625
CNN	p016	365	37.74560496380558
CNN	p013	487	43.28888888888889
CNN	p007	490	48.46686449060336
CNN	p009	2525	63.34671349724034
CNN	p012	620	68.43267108167771
CNN	p017	1495	84.22535211267605
CNN	p014	1277	100
CNN	p026	890	100
CNA	p017	280	15.774647887323944
CNA	p012	286	31.567328918322296
CNA	p009	1461	36.653286502759656
CNA	p007	521	51.53313550939663
CNA	p013	638	56.71111111111111
CNA	p016	602	62.254395036194424
CNA	p020	243	75.9375
CNA	p025	326	78.74396135265701
CNA	p021	105	79.54545454545455
CNA	p008	536	94.03508771929825
